Norwegian_Central_s,0.131209,0.129760,0.071533,0.058038,0.038544,0.019255,0.004862,0.006852,0.005620,-0.008263,-0.004609,0.003763,-0.007096,-0.010101,0.017970,0.003303,-0.008828,0.003614,0.001653,0.003863,0.005823,0.004065,-0.000318,0.014351,0.002376
Norwegian_North_s,0.131970,0.116512,0.076069,0.066223,0.035055,0.022399,0.006659,0.009973,0.002283,-0.012297,-0.001007,-0.000059,-0.001855,-0.009236,0.015415,0.005329,-0.007605,0.001284,0.000933,0.004309,0.004341,0.004765,0.001819,0.010670,0.000287
Norwegian_South,0.132383,0.129339,0.067578,0.054111,0.040529,0.020150,0.004210,0.006186,0.005937,-0.001291,-0.004511,0.004292,-0.009551,-0.010528,0.020792,0.007208,-0.007026,0.003055,0.003045,0.004075,0.005625,0.004197,0.001085,0.014061,-0.000635
Swedish_Central_South,0.132751,0.129424,0.070535,0.056740,0.040896,0.020163,0.006067,0.008478,0.003484,-0.006857,-0.005064,0.001621,-0.003909,-0.004180,0.014924,0.006153,-0.006360,0.001145,0.002388,0.004873,0.008614,0.002043,0.000739,0.010791,-0.000213
Swedish_Gavleborg_s,0.132140,0.123640,0.074882,0.063594,0.038995,0.022320,0.006216,0.009238,0.004089,-0.009449,-0.002812,0.000345,-0.002426,-0.005817,0.015741,0.006182,-0.006843,0.000987,0.001493,0.004663,0.004910,0.002818,0.002266,0.009536,0.001120
Swedish_Jamtland_s,0.133143,0.121837,0.075012,0.065472,0.037120,0.023561,0.007092,0.010100,0.001760,-0.012342,-0.002500,-0.000016,-0.001520,-0.006127,0.015449,0.005466,-0.007373,0.001318,0.001245,0.004212,0.004106,0.003664,0.002010,0.010203,0.000257
Swedish_Jonkoping_s,0.133620,0.130131,0.072259,0.059364,0.041076,0.021849,0.006395,0.009064,0.003445,-0.006821,-0.004095,0.001742,-0.004235,-0.004546,0.016046,0.005791,-0.007005,0.001808,0.002930,0.003863,0.003958,0.002617,0.002096,0.011528,0.000206
Swedish_Norrbotten_s,0.132420,0.115924,0.076481,0.066515,0.034186,0.022838,0.007615,0.010452,0.000897,-0.014323,-0.000802,-0.000651,-0.001019,-0.005671,0.013830,0.005196,-0.006646,0.001205,0.001561,0.005394,0.004244,0.004158,0.003020,0.010456,0.000733
Swedish_Orebro_s,0.133423,0.125128,0.076073,0.065057,0.039678,0.023422,0.007569,0.010775,0.003032,-0.010838,-0.002462,-0.000079,-0.001746,-0.005520,0.014853,0.004919,-0.007862,0.001122,0.001155,0.003221,0.004276,0.003301,0.001516,0.010764,0.000493
Swedish_Ostergotland_s,0.133131,0.132006,0.069742,0.056656,0.041272,0.021625,0.006211,0.008321,0.003315,-0.005662,-0.005157,0.002018,-0.005204,-0.002474,0.016206,0.006404,-0.006024,0.001626,0.003025,0.004018,0.004685,0.001350,0.001890,0.011828,0.000648
